point	title	description	icon	iconSize	iconOffset
42.859785,-1.709588			http://gizakatea.gureeskudago.net/assets/images/reserved.png	4,4	-2,-2
42.8598,-1.709618			http://gizakatea.gureeskudago.net/assets/images/reserved.png	4,4	-2,-2
42.859816,-1.709648			http://gizakatea.gureeskudago.net/assets/images/reserved.png	4,4	-2,-2
42.859831,-1.709678			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859846,-1.709709			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859862,-1.709739			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859877,-1.709769			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859892,-1.709799			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859908,-1.709829			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859923,-1.70986			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859938,-1.70989			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859954,-1.70992			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859969,-1.70995			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.859984,-1.70998			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.86,-1.710011			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860015,-1.710041			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.86003,-1.710071			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860045,-1.710101			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860061,-1.710131			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860076,-1.710162			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860091,-1.710192			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860106,-1.710223			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860121,-1.710253			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860136,-1.710283			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860151,-1.710314			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860166,-1.710344			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860181,-1.710375			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860196,-1.710405			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860212,-1.710436			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860227,-1.710466			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860242,-1.710496			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860257,-1.710527			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860272,-1.710557			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860287,-1.710588			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860302,-1.710618			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860317,-1.710649			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860332,-1.710679			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860347,-1.710709			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860362,-1.71074			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860377,-1.71077			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860392,-1.710801			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860407,-1.710831			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860423,-1.710861			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860438,-1.710892			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860453,-1.710922			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860468,-1.710953			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860483,-1.710983			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860498,-1.711014			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860513,-1.711044			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860528,-1.711074			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860543,-1.711105			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860558,-1.711135			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860573,-1.711166			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860588,-1.711196			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860603,-1.711226			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860618,-1.711257			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860634,-1.711287			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860649,-1.711318			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860664,-1.711348			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860679,-1.711379			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860694,-1.711409			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860709,-1.71144			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860724,-1.71147			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860739,-1.7115			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860754,-1.711531			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860769,-1.711561			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860784,-1.711592			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860799,-1.711622			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860814,-1.711653			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860829,-1.711683			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860844,-1.711714			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860859,-1.711744			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860874,-1.711774			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860889,-1.711805			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860904,-1.711835			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860919,-1.711866			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860934,-1.711896			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.86095,-1.711927			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860964,-1.711957			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860979,-1.711988			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.860994,-1.712018			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
